o_win,draw,x_win
0.262,0.738,0.0
0.2745,0.7255,0.0
0.27225,0.72775,0.0
0.27925,0.72075,0.0
0.277,0.723,0.0
0.30525,0.69475,0.0
0.296,0.704,0.0
0.29625,0.70375,0.0
0.2795,0.7205,0.0
0.2955,0.7045,0.0
0.30425,0.69575,0.0
0.3155,0.6845,0.0
0.314,0.686,0.0
0.32425,0.67575,0.0
0.32975,0.67025,0.0
0.3325,0.6675,0.0
0.3385,0.6615,0.0
0.349,0.651,0.0
0.36325,0.63675,0.0
0.36475,0.63525,0.0
0.37475,0.62525,0.0
0.37225,0.62775,0.0
0.391,0.609,0.0
0.38775,0.61225,0.0
0.395,0.605,0.0
0.408,0.592,0.0
0.405,0.595,0.0
0.42775,0.57225,0.0
0.4305,0.5695,0.0
0.43775,0.56225,0.0
0.45825,0.54175,0.0
0.4715,0.5285,0.0
0.47975,0.52025,0.0
0.4875,0.5125,0.0
0.5,0.5,0.0
0.52475,0.47525,0.0
0.53675,0.46325,0.0
0.554,0.446,0.0
0.5555,0.4445,0.0
0.59175,0.40825,0.0
0.59875,0.40125,0.0
0.628,0.372,0.0
0.645,0.355,0.0
0.65175,0.34825,0.0
0.687,0.313,0.0
0.70675,0.29325,0.0
0.74225,0.25775,0.0
0.7795,0.2205,0.0
0.79475,0.20525,0.0
