o_win,draw,x_win
0.25675,0.74325,0.0
0.277,0.723,0.0
0.27875,0.72125,0.0
0.28525,0.71475,0.0
0.27575,0.72425,0.0
0.28625,0.71375,0.0
0.288,0.712,0.0
0.2955,0.7045,0.0
0.3005,0.6995,0.0
0.30275,0.69725,0.0
0.3075,0.6925,0.0
0.316,0.684,0.0
0.31675,0.68325,0.0
0.3285,0.6715,0.0
0.33875,0.66125,0.0
0.336,0.664,0.0
0.34425,0.65575,0.0
0.333,0.667,0.0
0.3575,0.6425,0.0
0.3655,0.6345,0.0
0.3655,0.6345,0.0
0.37375,0.62625,0.0
0.3895,0.6105,0.0
0.386,0.614,0.0
0.409,0.591,0.0
0.405,0.595,0.0
0.4195,0.5805,0.0
0.418,0.582,0.0
0.4215,0.5785,0.0
0.44225,0.55775,0.0
0.46075,0.53925,0.0
0.4675,0.5325,0.0
0.47025,0.52975,0.0
0.4865,0.5135,0.0
0.494,0.506,0.0
0.5225,0.4775,0.0
0.527,0.473,0.0
0.54725,0.45275,0.0
0.56975,0.43025,0.0
0.58025,0.41975,0.0
0.603,0.397,0.0
0.612,0.388,0.0
0.64725,0.35275,0.0
0.6735,0.3265,0.0
0.69225,0.30775,0.0
0.72375,0.27625,0.0
0.7395,0.2605,0.0
0.772,0.228,0.0
0.797,0.203,0.0
