o_win,draw,x_win
0.69125,0.30875,0.0
0.6775,0.3225,0.0
0.69025,0.30975,0.0
0.71,0.29,0.0
0.69175,0.30825,0.0
0.70475,0.29525,0.0
0.69925,0.30075,0.0
0.711,0.289,0.0
0.68425,0.31575,0.0
0.707,0.293,0.0
0.6965,0.3035,0.0
0.7055,0.2945,0.0
0.7155,0.2845,0.0
0.71,0.29,0.0
0.71325,0.28675,0.0
0.71275,0.28725,0.0
0.71575,0.28425,0.0
0.73675,0.26325,0.0
0.73475,0.26525,0.0
0.7355,0.2645,0.0
0.72625,0.27375,0.0
0.73175,0.26825,0.0
0.733,0.267,0.0
0.72475,0.27525,0.0
0.746,0.254,0.0
0.74175,0.25825,0.0
0.7505,0.2495,0.0
0.741,0.259,0.0
0.7615,0.2385,0.0
0.755,0.245,0.0
0.7505,0.2495,0.0
0.761,0.239,0.0
0.75875,0.24125,0.0
0.766,0.234,0.0
0.76475,0.23525,0.0
0.771,0.229,0.0
0.7665,0.2335,0.0
0.76775,0.23225,0.0
0.7765,0.2235,0.0
0.76425,0.23575,0.0
0.77275,0.22725,0.0
0.7855,0.2145,0.0
0.795,0.205,0.0
0.78775,0.21225,0.0
0.79775,0.20225,0.0
0.79275,0.20725,0.0
0.80075,0.19925,0.0
0.799,0.201,0.0
0.80475,0.19525,0.0
