o_win,draw,x_win
0.21475,0.78525,0.0
0.21425,0.78575,0.0
0.2255,0.7745,0.0
0.2215,0.7785,0.0
0.23025,0.76975,0.0
0.22375,0.77625,0.0
0.23625,0.76375,0.0
0.23675,0.76325,0.0
0.23775,0.76225,0.0
0.246,0.754,0.0
0.234,0.766,0.0
0.2515,0.7485,0.0
0.26525,0.73475,0.0
0.264,0.736,0.0
0.26675,0.73325,0.0
0.27625,0.72375,0.0
0.28275,0.71725,0.0
0.298,0.702,0.0
0.28625,0.71375,0.0
0.298,0.702,0.0
0.3025,0.6975,0.0
0.317,0.683,0.0
0.3215,0.6785,0.0
0.31875,0.68125,0.0
0.33525,0.66475,0.0
0.33875,0.66125,0.0
0.347,0.653,0.0
0.368,0.632,0.0
0.36875,0.63125,0.0
0.38675,0.61325,0.0
0.38525,0.61475,0.0
0.397,0.603,0.0
0.4225,0.5775,0.0
0.42925,0.57075,0.0
0.4385,0.5615,0.0
0.457,0.543,0.0
0.45725,0.54275,0.0
0.47725,0.52275,0.0
0.50675,0.49325,0.0
0.5305,0.4695,0.0
0.55175,0.44825,0.0
0.5655,0.4345,0.0
0.59475,0.40525,0.0
0.633,0.367,0.0
0.63275,0.36725,0.0
0.683,0.317,0.0
0.72425,0.27575,0.0
0.76275,0.23725,0.0
0.80575,0.19425,0.0
