o_win,draw,x_win
0.6955,0.3045,0.0
0.6925,0.3075,0.0
0.7015,0.2985,0.0
0.695,0.305,0.0
0.6965,0.3035,0.0
0.687,0.313,0.0
0.69925,0.30075,0.0
0.713,0.287,0.0
0.701,0.299,0.0
0.69725,0.30275,0.0
0.70575,0.29425,0.0
0.70525,0.29475,0.0
0.71025,0.28975,0.0
0.72525,0.27475,0.0
0.71225,0.28775,0.0
0.71975,0.28025,0.0
0.71275,0.28725,0.0
0.721,0.279,0.0
0.7315,0.2685,0.0
0.73475,0.26525,0.0
0.73225,0.26775,0.0
0.72375,0.27625,0.0
0.71825,0.28175,0.0
0.74275,0.25725,0.0
0.73625,0.26375,0.0
0.74575,0.25425,0.0
0.73925,0.26075,0.0
0.7655,0.2345,0.0
0.7455,0.2545,0.0
0.767,0.233,0.0
0.74725,0.25275,0.0
0.76375,0.23625,0.0
0.7635,0.2365,0.0
0.75275,0.24725,0.0
0.775,0.225,0.0
0.77925,0.22075,0.0
0.77325,0.22675,0.0
0.77525,0.22475,0.0
0.779,0.221,0.0
0.7775,0.2225,0.0
0.78225,0.21775,0.0
0.78075,0.21925,0.0
0.78575,0.21425,0.0
0.79625,0.20375,0.0
0.78675,0.21325,0.0
0.78775,0.21225,0.0
0.805,0.195,0.0
0.80675,0.19325,0.0
0.808,0.192,0.0
