o_win,draw,x_win
0.2135,0.7865,0.0
0.213,0.787,0.0
0.2105,0.7895,0.0
0.2255,0.7745,0.0
0.23175,0.76825,0.0
0.23625,0.76375,0.0
0.2405,0.7595,0.0
0.23725,0.76275,0.0
0.233,0.767,0.0
0.24925,0.75075,0.0
0.25475,0.74525,0.0
0.24425,0.75575,0.0
0.24875,0.75125,0.0
0.26875,0.73125,0.0
0.26475,0.73525,0.0
0.2805,0.7195,0.0
0.28325,0.71675,0.0
0.279,0.721,0.0
0.29325,0.70675,0.0
0.298,0.702,0.0
0.3,0.7,0.0
0.29825,0.70175,0.0
0.32375,0.67625,0.0
0.322,0.678,0.0
0.3325,0.6675,0.0
0.32625,0.67375,0.0
0.347,0.653,0.0
0.36075,0.63925,0.0
0.37775,0.62225,0.0
0.38575,0.61425,0.0
0.3805,0.6195,0.0
0.405,0.595,0.0
0.419,0.581,0.0
0.4245,0.5755,0.0
0.435,0.565,0.0
0.451,0.549,0.0
0.478,0.522,0.0
0.48625,0.51375,0.0
0.50625,0.49375,0.0
0.523,0.477,0.0
0.53525,0.46475,0.0
0.57625,0.42375,0.0
0.58675,0.41325,0.0
0.611,0.389,0.0
0.643,0.357,0.0
0.68125,0.31875,0.0
0.716,0.284,0.0
0.734,0.266,0.0
0.7915,0.2085,0.0
