o_win,draw,x_win
0.18325,0.81675,0.0
0.20225,0.79775,0.0
0.20525,0.79475,0.0
0.2065,0.7935,0.0
0.218,0.782,0.0
0.20325,0.79675,0.0
0.21675,0.78325,0.0
0.217,0.783,0.0
0.228,0.772,0.0
0.219,0.781,0.0
0.219,0.781,0.0
0.2355,0.7645,0.0
0.24925,0.75075,0.0
0.24025,0.75975,0.0
0.2325,0.7675,0.0
0.25375,0.74625,0.0
0.25275,0.74725,0.0
0.26325,0.73675,0.0
0.26425,0.73575,0.0
0.27925,0.72075,0.0
0.28375,0.71625,0.0
0.2845,0.7155,0.0
0.29675,0.70325,0.0
0.3035,0.6965,0.0
0.31675,0.68325,0.0
0.314,0.686,0.0
0.34375,0.65625,0.0
0.33225,0.66775,0.0
0.3495,0.6505,0.0
0.3495,0.6505,0.0
0.34275,0.65725,0.0
0.3745,0.6255,0.0
0.38,0.62,0.0
0.388,0.612,0.0
0.41675,0.58325,0.0
0.42225,0.57775,0.0
0.43675,0.56325,0.0
0.47125,0.52875,0.0
0.469,0.531,0.0
0.5095,0.4905,0.0
0.516,0.484,0.0
0.542,0.458,0.0
0.56575,0.43425,0.0
0.60025,0.39975,0.0
0.63875,0.36125,0.0
0.65925,0.34075,0.0
0.6815,0.3185,0.0
0.7395,0.2605,0.0
0.78925,0.21075,0.0
