o_win,draw,x_win
0.5235,0.1465,0.33
0.53625,0.1465,0.31725
0.50975,0.15075,0.3395
0.531,0.137,0.332
0.5305,0.14325,0.32625
0.52,0.143,0.337
0.526,0.145,0.329
0.519,0.1455,0.3355
0.5285,0.143,0.3285
0.52825,0.1375,0.33425
0.51825,0.14375,0.338
0.513,0.14875,0.33825
0.52625,0.1365,0.33725
0.5265,0.138,0.3355
0.515,0.14225,0.34275
0.5255,0.142,0.3325
0.51775,0.146,0.33625
0.5225,0.14,0.3375
0.5195,0.14325,0.33725
0.50125,0.15525,0.3435
0.5165,0.145,0.3385
0.51,0.1405,0.3495
0.51425,0.14825,0.3375
0.511,0.14625,0.34275
0.53775,0.1375,0.32475
0.524,0.13025,0.34575
0.52225,0.141,0.33675
0.51625,0.13775,0.346
0.52175,0.14875,0.3295
0.5215,0.13775,0.34075
0.5255,0.13775,0.33675
0.52725,0.13925,0.3335
0.52725,0.1315,0.34125
0.51925,0.143,0.33775
0.5285,0.13825,0.33325
0.533,0.13275,0.33425
0.52425,0.1355,0.34025
0.533,0.13925,0.32775
0.50625,0.147,0.34675
0.51575,0.13975,0.3445
0.51525,0.14275,0.342
0.5215,0.14125,0.33725
0.52625,0.14975,0.324
0.53625,0.1305,0.33325
0.52175,0.1395,0.33875
0.51475,0.132,0.35325
0.49775,0.13425,0.368
0.46725,0.13825,0.3945
0.3555,0.1365,0.508
