o_win,draw,x_win
0.52225,0.127,0.35075
0.52225,0.1375,0.34025
0.5235,0.13475,0.34175
0.52875,0.1425,0.32875
0.52475,0.14175,0.3335
0.50975,0.14175,0.3485
0.52175,0.135,0.34325
0.517,0.135,0.348
0.52525,0.1375,0.33725
0.51925,0.14325,0.3375
0.521,0.13675,0.34225
0.51675,0.13575,0.3475
0.52425,0.1365,0.33925
0.5245,0.1385,0.337
0.51575,0.14425,0.34
0.52375,0.14025,0.336
0.517,0.1365,0.3465
0.51175,0.13925,0.349
0.51425,0.14275,0.343
0.508,0.14475,0.34725
0.52725,0.14525,0.3275
0.52225,0.129,0.34875
0.5035,0.14325,0.35325
0.521,0.14175,0.33725
0.521,0.13525,0.34375
0.51375,0.1385,0.34775
0.52525,0.13275,0.342
0.5145,0.1415,0.344
0.513,0.1435,0.3435
0.54025,0.12425,0.3355
0.52525,0.129,0.34575
0.5185,0.13175,0.34975
0.517,0.14175,0.34125
0.5135,0.1375,0.349
0.52525,0.12675,0.348
0.51125,0.1345,0.35425
0.5045,0.1385,0.357
0.5185,0.125,0.3565
0.51525,0.138,0.34675
0.50075,0.136,0.36325
0.503,0.134,0.363
0.50225,0.126,0.37175
0.492,0.12625,0.38175
0.47575,0.12675,0.3975
0.4635,0.13175,0.40475
0.4365,0.1345,0.429
0.40275,0.1275,0.46975
0.3475,0.1325,0.52
0.29225,0.1285,0.57925
