o_win,draw,x_win
0.521,0.12525,0.35375
0.53175,0.141,0.32725
0.503,0.1465,0.3505
0.51825,0.1375,0.34425
0.507,0.13975,0.35325
0.5095,0.13525,0.35525
0.51375,0.14,0.34625
0.528,0.137,0.335
0.5185,0.14175,0.33975
0.5145,0.15125,0.33425
0.51775,0.136,0.34625
0.5225,0.14125,0.33625
0.5235,0.13225,0.34425
0.5145,0.14425,0.34125
0.51125,0.1445,0.34425
0.541,0.13075,0.32825
0.51875,0.1375,0.34375
0.51775,0.125,0.35725
0.5135,0.141,0.3455
0.533,0.136,0.331
0.4935,0.14575,0.36075
0.51175,0.1405,0.34775
0.53,0.1335,0.3365
0.512,0.1315,0.3565
0.52375,0.14025,0.336
0.51725,0.13675,0.346
0.5195,0.14025,0.34025
0.50675,0.1415,0.35175
0.50625,0.134,0.35975
0.513,0.13175,0.35525
0.52175,0.13425,0.344
0.5325,0.13625,0.33125
0.51225,0.14225,0.3455
0.5085,0.14025,0.35125
0.51525,0.14225,0.3425
0.513,0.12925,0.35775
0.508,0.13125,0.36075
0.505,0.135,0.36
0.50675,0.12325,0.37
0.50575,0.1245,0.36975
0.49425,0.13875,0.367
0.486,0.12425,0.38975
0.48525,0.1355,0.37925
0.46075,0.1355,0.40375
0.44475,0.1275,0.42775
0.4305,0.12675,0.44275
0.38625,0.1355,0.47825
0.342,0.13825,0.51975
0.30025,0.12375,0.576
