o_win,draw,x_win
0.4175,0.1175,0.465
0.4055,0.12225,0.47225
0.413,0.13025,0.45675
0.40575,0.12475,0.4695
0.3955,0.1355,0.469
0.413,0.11875,0.46825
0.39625,0.121,0.48275
0.398,0.13425,0.46775
0.407,0.1275,0.4655
0.392,0.12575,0.48225
0.3865,0.1315,0.482
0.39325,0.12775,0.479
0.383,0.12525,0.49175
0.3885,0.12775,0.48375
0.37975,0.13,0.49025
0.3975,0.12775,0.47475
0.392,0.121,0.487
0.37775,0.1275,0.49475
0.37375,0.13375,0.4925
0.37775,0.12975,0.4925
0.36375,0.12175,0.5145
0.36325,0.133,0.50375
0.36925,0.12375,0.507
0.3635,0.1285,0.508
0.37725,0.12175,0.501
0.365,0.1305,0.5045
0.35975,0.12575,0.5145
0.3515,0.1375,0.511
0.35575,0.1255,0.51875
0.35025,0.133,0.51675
0.34125,0.12575,0.533
0.34875,0.12925,0.522
0.3405,0.125,0.5345
0.336,0.12525,0.53875
0.33525,0.1285,0.53625
0.336,0.12675,0.53725
0.328,0.1235,0.5485
0.3425,0.1265,0.531
0.31625,0.135,0.54875
0.32875,0.12725,0.544
0.322,0.1315,0.5465
0.3,0.12725,0.57275
0.314,0.12625,0.55975
0.3165,0.13775,0.54575
0.28875,0.12625,0.585
0.297,0.13425,0.56875
0.286,0.13875,0.57525
0.28775,0.125,0.58725
0.278,0.1355,0.5865
