alpha_rate,tau_rate,o_winrate,drawrate,x_winrate
0.0001,0.001,0.0176,0.9823999999999999,0.0
0.0001,0.004641588833612777,0.020399999999999998,0.9795999999999999,0.0
0.0001,0.021544346900318832,0.0172,0.9827999999999999,0.0
0.0001,0.1,0.0128,0.9872,0.0
0.0001,0.46415888336127775,0.0064,0.9936,0.0
0.0001,2.154434690031882,0.016800000000000002,0.9832000000000001,0.0
0.0001,10.0,0.4664,0.5336000000000001,0.0
0.0001,46.41588833612773,0.7996000000000001,0.2004,0.0
0.0001,215.44346900318823,0.8131999999999999,0.18680000000000002,0.0
0.0001,1000.0,0.8128,0.18719999999999998,0.0
2.1544346900318823e-05,0.001,0.0132,0.9867999999999999,0.0
2.1544346900318823e-05,0.004641588833612777,0.019200000000000002,0.9808,0.0
2.1544346900318823e-05,0.021544346900318832,0.0132,0.9868,0.0
2.1544346900318823e-05,0.1,0.0144,0.9855999999999998,0.0
2.1544346900318823e-05,0.46415888336127775,0.006,0.994,0.0
2.1544346900318823e-05,2.154434690031882,0.0212,0.9788,0.0
2.1544346900318823e-05,10.0,0.4755999999999999,0.5244,0.0
2.1544346900318823e-05,46.41588833612773,0.8092,0.1908,0.0
2.1544346900318823e-05,215.44346900318823,0.8012,0.1988,0.0
2.1544346900318823e-05,1000.0,0.8048,0.19519999999999998,0.0
4.641588833612782e-06,0.001,0.0132,0.9868,0.0
4.641588833612782e-06,0.004641588833612777,0.016399999999999998,0.9836,0.0
4.641588833612782e-06,0.021544346900318832,0.014400000000000001,0.9855999999999998,0.0
4.641588833612782e-06,0.1,0.0052,0.9948,0.0
4.641588833612782e-06,0.46415888336127775,0.0056,0.9944,0.0
4.641588833612782e-06,2.154434690031882,0.018400000000000003,0.9815999999999999,0.0
4.641588833612782e-06,10.0,0.4659999999999999,0.534,0.0
4.641588833612782e-06,46.41588833612773,0.786,0.21400000000000002,0.0
4.641588833612782e-06,215.44346900318823,0.8096,0.19039999999999999,0.0
4.641588833612782e-06,1000.0,0.8236000000000001,0.17640000000000003,0.0
1e-06,0.001,0.0132,0.9868,0.0
1e-06,0.004641588833612777,0.013999999999999999,0.986,0.0
1e-06,0.021544346900318832,0.015599999999999998,0.9843999999999999,0.0
1e-06,0.1,0.0108,0.9892,0.0
