o_win,draw,x_win
0.072,0.928,0.0
0.07575,0.92425,0.0
0.0825,0.9175,0.0
0.0785,0.9215,0.0
0.07825,0.92175,0.0
0.0845,0.9155,0.0
0.08375,0.91625,0.0
0.08175,0.91825,0.0
0.08375,0.91625,0.0
0.0965,0.9035,0.0
0.0775,0.9225,0.0
0.09075,0.90925,0.0
0.1,0.9,0.0
0.0995,0.9005,0.0
0.10275,0.89725,0.0
0.0985,0.9015,0.0
0.1015,0.8985,0.0
0.10075,0.89925,0.0
0.10975,0.89025,0.0
0.10725,0.89275,0.0
0.1155,0.8845,0.0
0.11775,0.88225,0.0
0.13,0.87,0.0
0.1265,0.8735,0.0
0.13175,0.86825,0.0
0.137,0.863,0.0
0.14175,0.85825,0.0
0.1405,0.8595,0.0
0.15675,0.84325,0.0
0.1615,0.8385,0.0
0.158,0.842,0.0
0.18675,0.81325,0.0
0.18675,0.81325,0.0
0.18825,0.81175,0.0
0.194,0.806,0.0
0.21375,0.78625,0.0
0.22475,0.77525,0.0
0.24,0.76,0.0
0.258,0.742,0.0
0.2745,0.7255,0.0
0.30875,0.69125,0.0
0.3145,0.6855,0.0
0.35725,0.64275,0.0
0.39775,0.60225,0.0
0.42425,0.57575,0.0
0.50025,0.49975,0.0
0.5905,0.4095,0.0
0.67375,0.32625,0.0
0.787,0.213,0.0
