o_win,draw,x_win
0.02475,0.97525,0.0
0.0265,0.9735,0.0
0.0215,0.9785,0.0
0.0285,0.9715,0.0
0.02675,0.97325,0.0
0.034,0.966,0.0
0.03175,0.96825,0.0
0.026,0.974,0.0
0.0285,0.9715,0.0
0.0275,0.9725,0.0
0.03025,0.96975,0.0
0.03275,0.96725,0.0
0.0305,0.9695,0.0
0.03675,0.96325,0.0
0.02975,0.97025,0.0
0.03425,0.96575,0.0
0.03475,0.96525,0.0
0.04025,0.95975,0.0
0.03725,0.96275,0.0
0.04075,0.95925,0.0
0.04625,0.95375,0.0
0.04125,0.95875,0.0
0.0415,0.9585,0.0
0.047,0.953,0.0
0.05275,0.94725,0.0
0.05675,0.94325,0.0
0.0615,0.9385,0.0
0.05875,0.94125,0.0
0.0535,0.9465,0.0
0.051,0.949,0.0
0.064,0.936,0.0
0.0645,0.9355,0.0
0.08025,0.91975,0.0
0.072,0.928,0.0
0.077,0.923,0.0
0.0875,0.9125,0.0
0.085,0.915,0.0
0.09125,0.90875,0.0
0.108,0.892,0.0
0.11925,0.88075,0.0
0.127,0.873,0.0
0.133,0.867,0.0
0.14925,0.85075,0.0
0.189,0.811,0.0
0.216,0.784,0.0
0.24575,0.75425,0.0
0.313,0.687,0.0
0.4305,0.5695,0.0
0.66,0.34,0.0
