o_win,draw,x_win
0.02275,0.97725,0.0
0.0235,0.9765,0.0
0.0245,0.9755,0.0
0.0285,0.9715,0.0
0.02425,0.97575,0.0
0.024,0.976,0.0
0.02575,0.97425,0.0
0.0285,0.9715,0.0
0.0275,0.9725,0.0
0.02725,0.97275,0.0
0.02925,0.97075,0.0
0.0345,0.9655,0.0
0.0305,0.9695,0.0
0.029,0.971,0.0
0.0325,0.9675,0.0
0.035,0.965,0.0
0.0345,0.9655,0.0
0.03225,0.96775,0.0
0.0355,0.9645,0.0
0.036,0.964,0.0
0.0385,0.9615,0.0
0.0385,0.9615,0.0
0.0415,0.9585,0.0
0.03875,0.96125,0.0
0.04725,0.95275,0.0
0.04825,0.95175,0.0
0.04925,0.95075,0.0
0.052,0.948,0.0
0.058,0.942,0.0
0.05025,0.94975,0.0
0.0485,0.9515,0.0
0.05975,0.94025,0.0
0.06375,0.93625,0.0
0.07675,0.92325,0.0
0.06875,0.93125,0.0
0.078,0.922,0.0
0.081,0.919,0.0
0.089,0.911,0.0
0.09525,0.90475,0.0
0.10125,0.89875,0.0
0.12225,0.87775,0.0
0.128,0.872,0.0
0.15475,0.84525,0.0
0.1675,0.8325,0.0
0.20475,0.79525,0.0
0.23,0.77,0.0
0.2945,0.7055,0.0
0.4075,0.5925,0.0
0.62975,0.37025,0.0
