state
xooxxxoxo
xxxxoooxo
oxoxoxxox
xxoxooxox
xoxoxoxox
oxxoxoxxo
oxxoxoxox
xooxoxxxo
ooxxxooxx
xoooxxoxx
xxoooxxxo
ooxoxxxox
oxxxooxox
xxooxoxox
xoxoxooxx
xoxooxxxo
oxxxxoxoo
xooxooxxx
xoxxoooxx
oxxooxxox
xoooxxxox
ooxxoxoxx
xooxxooxx
xoxxxooox
xxooxxoox
xooxxoxox
oxoxxooxx
xoxxooxxo
xoxoxxxoo
ooxxxxxoo
oxoooxxxx
oxooxoxxx
xoxxxoxoo
ooxxxxoox
xxoxoxxoo
xxoxxooox
xoxoxxoox
ooxxxoxox
xooxxxxoo
xxxoxooox
xoooxxxxo
xxxooxoxo
xxxooxoox
xxxoxooxo
xxxxooxoo
ooxxxoxxo
oxxxxooxo
xxxxoooox
xxooxxoxo
xoxooxoxx
ooxxooxxx
xooxxxoox
ooxoxoxxx
xoxoxoxxo
xxoooxxox
oxoxxxxoo
xooooxxxx
xxooxooxx
oxoxooxxx
oxoxxxoxo
xoxoxxoxo
oxxxxooox
xxxoxoxoo
ooxoxxxxo
oxxxoxoox
oxooxxxxo
oxoxxoxox
ooxxxxoxo
xxooxxxoo
xoxxxooxo
xoxxoxoxo
xoooxoxxx
oxxoxxxoo
xxxooxxoo
oxxxoooxx
ooxooxxxx
oxooxxxox
oxoxxxoox
oxxxx_ooo
xooxxoox_
oooxoxx_x
x_xoxooxo
oxxo_oxox
x_ooxxxoo
xoxooo_xx
oxooxxx_o
_xxoooxox
xoxox_oxo
x_ooxoxxo
oxoxxoo_x
ooxxxo_ox
xox_oooxx
xxox_ooox
ooox_xxox
_xoooxxox
xo_oxxxoo
xxo_oxoxo
xx_xoooox
oxoxooxx_
o_oxxoxox
oxxox_oox
ooxxo_xox
ooxo_xxxo
xxooox_ox
oxxoxo_ox
xooxoo_xx
xxoxooo_x
xxo_oxxoo
oxxxo_oxo
_xooxxoox
o_oxxoxxo
xxoxxoo_o
xooxox_xo
xxoo_oxox
xoox_ooxx
oxox_xxoo
x_oxoxoox
ooxooxxx_
oxxoo_xox
xooooxxx_
oo_xxoxox
oxxooo_xx
oo_oxxoxx
xoxxoo_ox
xoxo_oxxo
ooxxx_oxo
oxo_oxxxo
_xxooooxx
oxxxxo_oo
xoxo_ooxx
oxoxx_oox
_oooxxxox
xo_ooxxxo
xoxx_ooxo
xx_ooooxx
x_ooxxoxo
xoxooox_x
ooxox_oxx
oox_xooxx
xooxo_oxx
_xxxoooox
ooxxxo_xo
xoxo_oxox
oxxxo_oox
o_ooxxoxx
ox_ooxoxx
_xxxooxoo
x_xoxxooo
xxoox_xoo
oxxooxox_
oxoooxxx_
oxx_xxooo
_oxxoxxoo
oooxxoxx_
xoo_xxoxo
xxo_xxooo
oxooxox_x
o_xoxxoxo
xx_ooxoox
oxxoo_xxo
o_xooxxxo
xox_xxooo
oxoxoxx_o
_xoxoxoxo
xxoxxooo_
xoxxoxo_o
xxoooox_x
oxox_oxxo
x_xxoooxo
oxxoox_xo
oxxo_ooxx
oxxo_xoxo
_xxxoooxo
xxoooxox_
xxooox_xo
