o_win,draw,x_win
0.027,0.973,0.0
0.03,0.97,0.0
0.03,0.97,0.0
0.03425,0.96575,0.0
0.03375,0.96625,0.0
0.03325,0.96675,0.0
0.02925,0.97075,0.0
0.0305,0.9695,0.0
0.036,0.964,0.0
0.03525,0.96475,0.0
0.0365,0.9635,0.0
0.03725,0.96275,0.0
0.03625,0.96375,0.0
0.0365,0.9635,0.0
0.04125,0.95875,0.0
0.0465,0.9535,0.0
0.0435,0.9565,0.0
0.041,0.959,0.0
0.042,0.958,0.0
0.04975,0.95025,0.0
0.046,0.954,0.0
0.0495,0.9505,0.0
0.04825,0.95175,0.0
0.04525,0.95475,0.0
0.05775,0.94225,0.0
0.051,0.949,0.0
0.0595,0.9405,0.0
0.06175,0.93825,0.0
0.065,0.935,0.0
0.06575,0.93425,0.0
0.07675,0.92325,0.0
0.0735,0.9265,0.0
0.08125,0.91875,0.0
0.08725,0.91275,0.0
0.087,0.913,0.0
0.10525,0.89475,0.0
0.10175,0.89825,0.0
0.10625,0.89375,0.0
0.11325,0.88675,0.0
0.1295,0.8705,0.0
0.146,0.854,0.0
0.1745,0.8255,0.0
0.18175,0.81825,0.0
0.20825,0.79175,0.0
0.2455,0.7545,0.0
0.31575,0.68425,0.0
0.39,0.61,0.0
0.54775,0.45225,0.0
0.742,0.258,0.0
