o_win,draw,x_win
0.0305,0.0565,0.913
0.033,0.055,0.912
0.03125,0.0515,0.91725
0.0325,0.056,0.9115
0.03375,0.0635,0.90275
0.03375,0.0625,0.90375
0.037,0.056,0.907
0.036,0.064,0.9
0.03375,0.0595,0.90675
0.0315,0.05875,0.90975
0.03275,0.056,0.91125
0.0375,0.06275,0.89975
0.0395,0.06,0.9005
0.03775,0.0605,0.90175
0.03475,0.05775,0.9075
0.03925,0.05475,0.906
0.034,0.05875,0.90725
0.0385,0.05025,0.91125
0.03825,0.059,0.90275
0.04125,0.06225,0.8965
0.04625,0.05825,0.8955
0.04375,0.06125,0.895
0.0405,0.0615,0.898
0.0375,0.06,0.9025
0.04475,0.06,0.89525
0.04475,0.056,0.89925
0.04675,0.05925,0.894
0.05075,0.0585,0.89075
0.05375,0.05675,0.8895
0.05225,0.062,0.88575
0.053,0.058,0.889
0.0535,0.064,0.8825
0.06,0.0655,0.8745
0.058,0.05375,0.88825
0.066,0.06025,0.87375
0.06875,0.0665,0.86475
0.065,0.06375,0.87125
0.07975,0.062,0.85825
0.08175,0.05825,0.86
0.08425,0.062,0.85375
0.07375,0.06625,0.86
0.093,0.07275,0.83425
0.10975,0.07475,0.8155
0.11275,0.0785,0.80875
0.13775,0.084,0.77825
0.16175,0.099,0.73925
0.20175,0.109,0.68925
0.24875,0.1265,0.62475
0.26825,0.12525,0.6065
