o_win,draw,x_win
0.0,0.9855,0.0145
0.0,0.9855,0.0145
0.0,0.984,0.016
0.0,0.9835,0.0165
0.0,0.9815,0.0185
0.0,0.9785,0.0215
0.0,0.9685,0.0315
0.0,0.9705,0.0295
0.0,0.976,0.024
0.0,0.971,0.029
0.0,0.967,0.033
0.0,0.9615,0.0385
0.0,0.964,0.036
0.0,0.9555,0.0445
0.0,0.954,0.046
0.0,0.958,0.042
0.0,0.9475,0.0525
0.0,0.945,0.055
0.0,0.9335,0.0665
0.0,0.9315,0.0685
0.0,0.928,0.072
0.0,0.9235,0.0765
0.0,0.902,0.098
0.0,0.895,0.105
0.0,0.897,0.103
0.0,0.877,0.123
0.0,0.8585,0.1415
0.0,0.8395,0.1605
0.0,0.8025,0.1975
0.0,0.778,0.222
0.0,0.7615,0.2385
0.0,0.7395,0.2605
0.0,0.683,0.317
0.0,0.617,0.383
0.0,0.589,0.411
0.0,0.5305,0.4695
0.0,0.455,0.545
0.0,0.396,0.604
0.0,0.311,0.689
0.0,0.2525,0.7475
0.0,0.163,0.837
0.0,0.0965,0.9035
0.0,0.0645,0.9355
0.0,0.036,0.964
0.0,0.0225,0.9775
0.0,0.0095,0.9905
0.0,0.0065,0.9935
0.0,0.0045,0.9955
0.0,0.0035,0.9965
