o_win,draw,x_win
0.522,0.14425,0.33375
0.518,0.13375,0.34825
0.53675,0.1395,0.32375
0.52425,0.14375,0.332
0.51825,0.143,0.33875
0.52525,0.13775,0.337
0.51825,0.145,0.33675
0.51275,0.139,0.34825
0.5245,0.13125,0.34425
0.517,0.1415,0.3415
0.51725,0.1385,0.34425
0.5205,0.14075,0.33875
0.5235,0.1415,0.335
0.5195,0.14375,0.33675
0.52,0.1395,0.3405
0.54625,0.131,0.32275
0.52775,0.1375,0.33475
0.52175,0.14125,0.337
0.52825,0.134,0.33775
0.511,0.15,0.339
0.52975,0.13725,0.333
0.52575,0.135,0.33925
0.51225,0.136,0.35175
0.5225,0.14225,0.33525
0.50925,0.13975,0.351
0.53325,0.1295,0.33725
0.51575,0.14075,0.3435
0.51625,0.13825,0.3455
0.51425,0.1365,0.34925
0.514,0.1355,0.3505
0.53,0.13325,0.33675
0.5115,0.142,0.3465
0.52225,0.1365,0.34125
0.509,0.14825,0.34275
0.515,0.13575,0.34925
0.514,0.155,0.331
0.5165,0.141,0.3425
0.51125,0.14775,0.341
0.5275,0.1305,0.342
0.5095,0.14025,0.35025
0.50875,0.14025,0.351
0.5175,0.13625,0.34625
0.51075,0.14775,0.3415
0.506,0.131,0.363
0.51225,0.13575,0.352
0.50575,0.133,0.36125
0.48025,0.13975,0.38
0.44175,0.137,0.42125
0.33025,0.12175,0.548
