o_win,draw,x_win
0.007,0.05375,0.93925
0.0085,0.047,0.9445
0.00775,0.053,0.93925
0.006,0.0515,0.9425
0.0085,0.053,0.9385
0.00975,0.0565,0.93375
0.01225,0.05625,0.9315
0.01025,0.05675,0.933
0.01025,0.055,0.93475
0.01075,0.05175,0.9375
0.0085,0.05425,0.93725
0.01075,0.05175,0.9375
0.009,0.05,0.941
0.008,0.0545,0.9375
0.0065,0.05125,0.94225
0.013,0.0485,0.9385
0.01,0.0485,0.9415
0.012,0.05525,0.93275
0.0105,0.0545,0.935
0.0105,0.05225,0.93725
0.0145,0.057,0.9285
0.00925,0.05525,0.9355
0.013,0.048,0.939
0.01075,0.0575,0.93175
0.01475,0.0555,0.92975
0.012,0.0545,0.9335
0.012,0.05025,0.93775
0.01275,0.0535,0.93375
0.0145,0.0475,0.938
0.0135,0.06625,0.92025
0.0135,0.05275,0.93375
0.017,0.06025,0.92275
0.01825,0.0575,0.92425
0.01875,0.0635,0.91775
0.02325,0.063,0.91375
0.0175,0.061,0.9215
0.018,0.0575,0.9245
0.02575,0.057,0.91725
0.02625,0.06375,0.91
0.02425,0.06375,0.912
0.03275,0.06475,0.9025
0.03625,0.07225,0.8915
0.0465,0.066,0.8875
0.05975,0.0715,0.86875
0.0755,0.0785,0.846
0.10075,0.0835,0.81575
0.12425,0.08425,0.7915
0.176,0.0985,0.7255
0.259,0.11725,0.62375
